Sentence,Order,Label
anyway probably ss ss remember dm anyway orders especially probably remains especially remains probably anyway also um especially translate translate db probably especially the the the the the the the the the the the unexpected the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,1.1210772037888337,0.0
anyway probably ss ss remember dm anyway guarantees especially probably remains especially remains probably anyway also um especially translate translate the the the the the the the the the the the the the the unexpected the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,-0.18104106615536886,0.0
anyway probably ss ss remember dm anyway guarantees especially probably remains especially remains probably anyway also um especially translate translate db the especially the the the the the the the the the the the unexpected the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,0.592257770276522,0.0
anyway probably ss ss remember dm anyway orders especially probably remains especially remains probably anyway also um especially translate translate db probably especially probably divide screenshots adopt also mem endorsed pharmacies cio remains nascar unexpected fossil resumes the the deep the the the the the the the the the the the the the the the the bone the the the the the the the the the the the the the the the the the the the,-0.30463928448969724,0.0
anyway probably ss sucks remember um anyway insert especially probably remains especially facts probably anyway also kinda especially translate tells how probably occurs sacrifice divide screenshots probably also mem endorsed pharmacies camps remains reverse unexpected sr churches emails admissions senator exciting cancel ideal seems participation progress faculty newspapers merry remained anyway currently meant variation usual files bone row produced herbs storm highlights carey gene central warehouse lifestyle convertible garmin counts poison sally through glow travels convert,-0.5269401328603394,0.0
anyway probably ss ss remember dm anyway orders especially probably remains especially remains probably anyway also um especially translate translate nasty the the the the the the the the the the the the the unexpected the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,1.698373675362721,0.0
anyway ours anyway yeah remember actually anyway offered denial ought is especially ought ought going ought actually occurs let tests how kind consider philosophy amendments thumbs results also mem endorsed reaction continues ourselves reverse unexpected imagine particles impression continued forward came bukkake schema speaks mega pn engaged newspapers trends remained purchases royalty could blowjobs mud moisture bone bother team pushing hearings highlights playboy clause fisheries blame senior subscriptions pn results partnership norton intelligence classifieds saw sc,1.398934422350532,0.0
anyway probably ss ss remember dm anyway guarantees especially probably remains especially remains probably anyway also um especially translate translate db the the the the the the the the the the the the the unexpected the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,-0.9122777602616597,0.0
anyway probably ss ss remember dm anyway orders especially probably remains especially remains probably anyway also um especially translate translate db probably especially probably strengthen screenshots probably also mem endorsed pharmacies camps remains reverse unexpected sr syria poll year buyers includes announces galaxy seems participation officer faculty journalism decision remained anyway currently translate variation as files bone row fed herbs officer highlights vienna gene plastics lovely intention convertible garmin counts poison sally through free travels converted,-1.1544879321315644,0.0
anyway probably ss ss remember dm anyway orders especially probably remains especially remains probably anyway also um especially translate translate course probably especially probably divide screenshots adopt also mem endorsed pharmacies refugees remains the unexpected the the the the the the the the the the the the the the the the the the the the the bone the the the the the the the the the the the the the the the the the the the,-0.5928975652065583,0.0
